"","T","Myeloid","B/Plasma","Fibroblast","Endothelial","Tumor","Epithelial"
"APOE",0.0221790887041653,11.0586104861818,0.0266783077069138,8.65383165611421,0,0.0291164342901947,0.00927415804325661
"APOC1",0.0106872925405645,5.43278822880119,0.0145366646895761,0.267064747673487,0,0.0804071758506368,0.0258927257951497
"SPP1",0.0340875197314758,9.92568155341354,0.0354213350601848,0,0.107954044714647,0.021588576913965,0.0198217713058666
"C1QA",0.00701339682386797,4.53922536095189,0.00851018008798133,0,0,0.00883519095077714,0.00650999312211762
"GPNMB",0.00189641497226387,1.37655917200621,0.0043190562218235,2.02397593636072,0,0.00494424744534371,0
"C1QB",0.00563649195251235,5.41137534714607,0.00444493533129999,0,0,0.00493431352183672,0.00711230057676034
"CTSB",0.163479414097284,5.81262776958634,0.134568164151809,1.43435595308751,0.885218998018073,0.489079684811994,0.19659891294701
"FTL",4.97535938104959,37.4963604873827,5.79157486593213,9.94038192557087,4.07009985105606,9.7564003057489,12.9508467152507
"CTSD",0.736572306961867,7.58560515334669,0.214886656811825,0.496263020782248,0.393251350585618,0.293449757193741,0.337482752330548
"C1QC",0.00249709449643338,3.7175288739218,0.00202885742556965,0,0,0.00241313514699955,0.00151812251052064
"CTSL",0.0549659825055894,1.90649702954871,0.0064993196360656,1.54744386734995,0.704668473425024,0.0312357934894229,0.039244521221742
"PSAP",0.31423389900751,4.98336710790087,0.42013810280729,3.15288842599376,0.743315540813402,0.246399112391023,0.130322886423169
"CD68",0.0144151380533777,2.56356461449288,0.0616400728155419,0.111032820180864,0.291884007284245,0.12878421795765,0.112195588773252
"FCER1G",0.137188121958915,5.63619028588616,0.00963237798908888,0,0,0.00806547806526782,0.00768348668020093
"TYROBP",0.187023237293048,5.76374126406241,0.0119571406888502,0,0,0.0185709833505555,0.0100670456875702
"GLUL",0.142654882120985,2.38318757476582,0.0401330784529658,1.04167827362313,0.495802661190517,0.388324540450495,0.439897544998718
"PLIN2",0.483308259557252,1.94220649487483,0.181749080677122,0.43766341801892,0.0501243038919224,0.298790729671948,0.228607915214493
"CD14",0.00526278906719181,2.62205063081941,0.00508947658525576,0,0,0.00842271007658671,0.0139179055190122
"GRN",0.0812890213425866,2.85808548903637,0.176652903110623,1.25192329041984,1.74163451057841,0.247095058353566,0.206353385947908
"ADM",0.0248494899267519,0.674449304366115,0.0177673079496294,0.125636369808482,0.26318930019204,0.180577532356722,0.0852381030492513
"MSR1",0.00192567469751741,0.784157635202342,0,0,0,0,0
"MAFB",0.00837534177284945,1.69833352336222,0.00351860488818539,0,0.531747753607916,0.0824870189372644,0.0223385150163397
"NPC2",0.163003732567064,3.32130689399047,0.452540433479433,1.78022395265388,1.74996543050582,0.492211515241341,0.502512500426172
"LGALS1",0.759195455886304,5.48063137207567,0.698497957129208,4.38227735074571,0.734216560605378,0.0394198035532561,0.021745830353823
"AIF1",0.0505359800598967,3.63786019047604,0.0104354414685974,0,0,0.00982015213378595,0.00346965407432987
"FCGR2A",0.00467070867732969,1.96801852107615,0.0208996757910938,0,0,0.00632786840817536,0.0050786789631808
"DAB2",0.00811193057880197,0.708341997561038,0,1.58045288474588,0.472045020141886,0.0627889598001888,0.0511930526214871
"FCGR3A",0.0763098395523166,1.34411733314752,0,0,0,0,0
"CTSS",0.411724448946894,4.16967782791113,0.742502417727658,0.586060819323846,0.0955325220113626,0.361335745853817,0.312155973049207
"MRC1",0.00355726481079808,0.483723713858137,0,0,0.567073376713025,0,0
"SLC11A1",0.0153508006925194,1.17802712731878,0.0088952992145418,0,0,0.0267013536020988,0.0129186299841119
"CD163",0.00237973707420141,2.11304660313785,0.000301293191223305,0,0,0.00151040236972606,0
"TREM2",0.000679566672645264,0.848084438011347,0,0,0,0.00129288383130476,0
"HLA-DRA",0.850589895408701,13.2157279933377,8.32425513948389,0.124816713991223,0.702804755541827,0.527585155460131,0.256292957155007
"VIM",3.98895230125638,10.2577783044719,2.21971909653422,10.8644641706897,9.2102301794283,0.0576451375963387,0.0667876613059161
"CTSZ",0.185995224910713,2.85127792838215,0.620380985028261,0.180850308149559,0.358721822203402,0.244098683535869,0.105578013235384
"SGK1",0.24485055066592,2.05021623417943,0.146833208552294,0,0.484907200842188,0.141151914233582,0.12660320832746
"PLD3",0.117288893696636,1.37476547214248,0.0925622825990025,1.07046308557127,0.0501243038919224,0.095580657725425,0.045523401160453
"LGMN",0.0193906644247347,1.60099716860498,0.0658749132561714,0.55800654897945,0.15807834860657,0.0965082830371944,0.0406153205821043
"CAPG",0.225074240543046,1.98129928904707,0.184863428594592,0,0,0.529552716695837,0.508467066375229
"TGFBI",0.0198886155880414,1.41979247688141,0.0019373985466845,0.681458609386848,0,0.294934522683162,0.174476286930414
"LAPTM5",1.74531548558574,4.30263668515253,2.14451792011048,0,0.147614975438503,0.0215955749683744,0.0174653765280995
"HMOX1",0.036116233674995,0.959675986604031,0.0302575984792948,0.309998891044984,0.0501243038919224,0.0265148170369338,0.0265502461741697
"MS4A6A",0.042491699290141,1.93803083587731,0.00759991388188704,0,0,0.00271482314824157,0
"ITGB2",0.70170899672458,1.84836860127468,0.173577546258684,0,0,0.00261324144784739,0.00596637334972817
"ASAH1",0.180489701297872,1.98737812086787,0.388350587777446,0.290759374163099,0.20348656672601,0.273293575678327,0.172131747047115
"MS4A7",0.00136586245846036,1.34160363543058,0.0420159625282617,0,0,0.000452129179161749,0
"TYMP",0.36652552388153,3.46007744979158,0.345434202761668,1.16356453540381,1.0422148060851,0.206555199488701,0.135986991041216
"SLC16A10",0.0235118673219041,0.385061777671414,0.0029958014023902,0,0,0.0325726490688039,0.000868535046053822
"IGSF6",0.0131980878071817,1.33109416736237,0.00656469095931932,0,0,0.00134016417689883,0.00092094303256477
"PLAUR",0.0374435011248687,2.69774874125636,0.0146867350059489,0.578631241520509,0.210505355319546,0.209430950219807,0.11700346559483
"MARCKS",0.0427810348932833,2.127405161638,0.924423878413086,1.14545542472826,1.86437697816853,1.08787922774924,1.09207143736784
"TIMP2",0.0242207454872375,1.22924135652477,0.0641838948792736,2.53459561201472,0.560442460700121,0.0652038189516873,0.0318341149306396
"KCTD12",0.00701895375968374,0.675385305496303,0.0231033439622076,0.660898685576878,0.357409439496913,0.0481610120965293,0.0210647129067397
"ABCA1",0.0120533302565425,0.528342244421025,0.0359183545911018,0.235545435822023,0.346950247264905,0.0126047148590575,0.0131026477224227
"LYZ",0.0620080824531352,7.15616631922868,0.0807667662062641,0.197418719016375,0.241759703392322,1.21481767889739,0.518567903710161
"SAT1",2.88198104229647,12.1222731801842,2.54878311731296,3.06878970992106,3.14488064168967,4.36609413427025,3.57575276513994
"SOD2",0.522640498715962,7.46096337304412,0.370530796317813,2.51072822910229,1.3830855462127,0.719582454649847,0.496840619782858
"PLXDC2",0.00317906180669208,0.727024071918619,0,1.45375891519877,0.426129178878816,0.00399188460774764,0.0331815591081441
"CREG1",0.064535023675122,1.22103809281505,0.0408173709004503,0.678391856518909,0.305693324045073,0.196919368135898,0.178129877672909
"RAB31",0.00140707676080115,0.700158349151673,0.087731683198122,0.121056213123882,0,0,0
"CEBPB",0.817191529299891,2.98636191332342,0.264959101325762,1.0099626519869,0.461833851758363,0.651337971446842,0.343967605102316
"C5AR1",0.00189343290935865,1.65891517709048,0.00124682137489951,0,0,0.00436957133681197,0.00481034066763465
"CYBB",0.00114789536682036,1.31395650791664,0.363190448454631,0,0,0.00323458291649181,0.00198060518884516
"LIPA",0.0590488381181358,0.959311131537171,0.0456711814698746,0,0,0.0360683946644873,0.0120199475527613
"C1orf162",0.104569221474185,1.27501499854824,0.142345082487226,0,0,0.00370928386734272,0.00132320609643944
"MFSD1",0.05227730922867,0.811675743063687,0.0851009655081866,0.203352486780143,0.20348656672601,0.060950895738753,0.0301893321177165
"RETN",0.000906301407648991,0.147925136229097,0,0,0,0,0
"SLCO2B1",0.00040068579215168,0.571371539408885,0.00165610286679254,0,0,0.023119825663406,0.0153175113813071
"PMP22",0.00388997658612166,0.448590513772411,0.00391261580592351,2.28114619027318,0.735287416140357,0.0282272222981128,0.0163440676576638
"CSF1R",0.000959138082047617,0.638477183334205,0,0,0,0.000333945363672039,0
"ATP6V1B2",0.0789346396699309,0.747525758679857,0.0461789425810766,0.389682084860043,0.107954044714647,0.182034464309404,0.13440348097067
"A2M",0.0090114964985064,1.00677737922733,0.00652818268877965,4.81374469351513,1.62658538412325,0.0022507347811809,0.00250432381153295
"MS4A4A",0,0.943482172550161,0.00359152295300793,0,0,0,0
"CCDC88A",0.0686881007563061,0.956090555342758,0.158220886661682,0.349838764947358,1.04907008817064,0.00355486800247128,0.00749884590339019
"SPI1",0.00488440941105223,1.25487407274221,0.121265774471195,0,0.147614975438503,0.00688591560463146,0.00106933122499038
"TPP1",0.169339719223778,0.840307621619147,0.161140717884958,0.982452725280814,0.245636375147116,0.0786572313056001,0.0203635077240149
"SLC1A3",0.000243836082746772,0.35140158439148,0.000335272303663653,0,0,0,0
"FPR3",0,0.286229089957123,0,0,0,0.000904360079821879,0.000448648507360393
"GM2A",0.0190270809898179,0.510776973344448,0.071586223122647,0.0711983264939821,0,0.0425837085169794,0.00740120903498083
"CLEC5A",0.000892533557898145,0.172095345984871,0,0,0,0,0
"ARHGAP18",0.226924038548161,0.589360184380615,0.100886420037521,0.197418719016375,0.107954044714647,0.23852910658297,0.153758469652075
"LHFPL2",0.0031770539408492,0.369978821477929,0.0185141272321973,0.408455596507231,0.0955325220113626,0.0321902404178675,0.0533788115297243
"FCGR2B",0.0032278159628796,0.268015129668126,0.255092221386702,0,0,0,0
"NCF2",0.00570882187855975,0.760997202653535,0.0336364179665105,0.039834493686882,0,0.00106861843331367,0.00592264623506739
"OGFRL1",0.0735975459343279,0.566243353546197,0.116110663806753,0.0942725370013818,0.260629659211469,0.0843265970171774,0.0612082193878704
"NRP1",0.00543017368501696,0.35823749563604,0,0.319749253627571,1.02573639031373,0.00173839498630133,0.00106933122499038
"FGL2",0.182548889473599,1.34789697278424,0.0707114605570962,0.468311087681234,0.895732608545635,0.00333329411698276,0.00387170416801974
"VSIG4",0.00164831292234215,0.63124097771229,0.00212923671272118,0,0,0.00136188808515793,0
"PHACTR1",0.0106854377347536,1.07945593249772,0.451255029122197,0.039834493686882,0,0.00419600992583535,0.00746784198748956
"SOAT1",0.105902643248686,0.33521314758775,0.0590847836821678,0.181669963966817,0.197739279330425,0.0356102864206826,0.0309290177299657
"PLA2G7",0.0024322398068702,0.728941220579265,0.00158318391410202,0,0,0.00124162893259665,0.000765978198119688
"QKI",0.207159363689124,0.915728794084916,0.197070733991826,0.495461856748234,1.63954427902167,0.0149321939733592,0.0103023208774308
"BCAT1",0.0371126458361327,0.242081830593791,0.00555992369727681,0.311259670408762,0.0501243038919224,0,0
"ZEB2",0.530443017362108,1.46219079550505,0.191219727449086,1.97543018715093,0.210505355319546,0.00789561673726441,0.00368796125617931
"OLR1",0,0.690844348433533,0.000811909817388151,0,0,0,0.0018943626365453
"LILRB4",0.00166467772649879,0.703351069153538,0.00849409945345255,0,0,0,0
"ITGAX",0.032482688025422,0.677674495230401,0.0118790211047636,0,0,0.00321146378537482,0.0079543401277665
"RNF130",0.0632502333111271,0.930052884843225,0.0370752246874854,0.29564330768151,0.25556902015315,0.359971557724599,0.322316915135976
"CD86",0.00379000253195712,0.572131186215674,0.073219020606723,0,0,0.00052170248748804,0
"SDS",0.00352043076259779,0.704280951252078,0,0,0,0,0
"LAIR1",0.093838641139309,0.687168939918339,0.037507213053323,0,0,0.0117244183805269,0.00214860077927061
"GNB4",0.0180206433641273,0.400360769367336,0.0314625451433412,0.0958680878452176,0.610343407318438,0,0
"SIRPA",0.00123587180461547,0.3658438320016,0.0360192526730968,0.0958680878452176,0.351101542164513,0.0286709372963542,0.0030643133317502
"LST1",0.101276889512328,1.59924567512429,0.0516342419066391,0,0,0.00476571315564262,0.00386502738033283
"IL4I1",0.0390805129701991,0.182718598941766,0.00173352140741819,0,0,0.000747311792185681,0.001272697152267
"STAB1",0.00467684376676848,0.736849707757439,0.000659560802450798,0,1.2434577642528,0,0.000628688690070114
"C3AR1",0.0439764023213093,0.562581626577416,0.00149228917350043,0,0,0.00160550769526317,0
"ADAP2",0.00124043918133432,0.498863104343138,0.0139046955279127,0,0,0.00130502156057278,0.00695095751167881
"LRP1",0.0103159004320485,0.547968204089361,0.0087842937797988,2.39954429346273,0,0.090992268203227,0.037344863281947
"TLR2",0.00371875215768165,0.599146078121454,0.00299076975703526,0,0,0,0
"RAB42",0,0.0985868651749653,0.000458078144900298,0,0,0,0
"CD4",0.216135609976034,0.508102117073391,0.00257066861320527,0.157584225329493,0,0.000921122113475254,0.00122244761181135
"CLEC7A",0.0267145944438941,0.790238420487476,0,0,0,0.000519564470344073,0.00196136411781222
"SLC8A1",0.00352132664833376,0.31137403841086,0,0,0.107954044714647,0.00594211488177086,0.00242847142115355
"SLC15A3",0.00160308225458371,0.570570972537789,0.0655399802225542,0.0560335941583356,0.0955325220113626,0.0134387679388379,0.005944709202079
"COLEC12",0.00112615368395555,0.0992677683244424,0.0025368125358136,0.297816905712147,0.376004874986893,0.00140711678936661,0
"SLC31A2",0.0387348965620152,0.47479891969772,0.0173361992919903,0.0958680878452176,0.0501243038919224,0.0194900900813585,0.0116655648059833
"MNDA",0.00446974311733594,1.31560530093478,0.0777558894694901,0,0,0.00270668712645553,0.00520260381531833
"HAVCR2",0.443407204766408,0.533129394150217,0.00876573160922046,0,0,0.00202960555243266,0.00904368932546964
"TNFSF13B",0.142432463199359,0.691536924070465,0.0172686594042805,0.122651763967718,0,0.00700890666444005,0.00419313329376262
"CD300A",0.0722617308762367,0.456773212444877,0.00408084320778967,0,0,0.00153926951775985,0
"EMILIN2",0.0268378559954901,0.491743174069971,0.0302399727875764,0.57121532993156,0.147614975438503,0.0161450984734859,0.0113993150958565
"FCGR1A",0,0.513394233051241,0.00150964705409302,0,0,0.000574651821162844,0
"MPP1",0.0242247121202753,0.388532869207008,0.00912578034046711,0,0.107954044714647,0.095895405169635,0.103247344045716
"RNASE6",0.00487263676820233,1.12563983800535,0.356760270307053,0,0,0.0464610257809529,0.0167908075816773
"TREM1",0.0030505141356602,1.16211081427045,0.00407091489201773,0,0,0.00461302350171183,0.00507618585053384
"CCR1",0.0258867440676586,0.282591153323554,0.00929417822563936,0,0,0.000326511037710436,0
"GPR34",0.0239407480321664,0.471788398087881,0.00135391410934196,0,0,0,0
"SIGLEC1",0.00172255305864366,0.135364092010974,0,0,0,0,0
"ITGAM",0.0151454502086015,0.326514159009172,0.015321322738766,0,0,0,0.00299586659532777
"NPL",0.00880859068974188,0.414523586402041,0.000424717630243593,0.0711983264939821,0,0.00696421212763342,0.00619270619672825
"TFEC",0,0.280827012553235,0.0624305056283922,0,0,0,0
"EPB41L3",0.00331746492942604,0.261087342894746,0,0.232089033304746,1.08892263029587,0.021052715064862,0.0210804266791946
"PILRA",0.00292815217434572,0.514343865259821,0.00938637965888752,0,0,0.00398053476788207,0.00142867980628921
"MERTK",0.00300739080071791,0.305128576216326,0.00671051844543893,0,0,0.013861035126639,0.00521946022302197
"MMP19",0.00291537451090937,0.216223515084487,0.00250815233067617,0.675386392277338,0,0.000719367293360764,0.000641797702632094
"PLXNC1",0.0264228209439906,0.435969581159284,0.034852764418284,0.0942725370013818,0,0.00740992391423754,0.00480114337709382
"LILRB3",0.00591334879328868,0.438929941724433,0.0043804405541927,0,0,0.00174647633884519,0
"DOCK4",0.00182225360308075,0.219159697184855,0,0.125636369808482,0.671310737370335,0.000308841722283683,0.00174643935811644
"SLC7A7",0.00162794688820227,0.598583918406069,0.0173660899306032,0,0,0.0387170709115072,0.0179612514383532
